layer,intervention,metric,metric_label,mean_baseline,mean_ablated,mean_delta,mean_degradation,mean_abs_delta,std_degradation,n_cases
decoder2,zero,tumor_volume,Tumor volume (pred WT voxels),11640.925333333333,34183.264,22542.338666666667,22542.338666666667,22542.338666666667,11342.539764066803,375
decoder2,zero,false_positive_voxels,False-positive voxels,1036.744,23012.914666666667,21976.170666666665,21976.170666666665,21976.170666666665,11490.232117782813,375
decoder2,zero,boundary_complexity,Boundary complexity,6.174654469857373,15.647111191150282,9.472456721292907,9.472456721292907,9.472456721292907,3.802729587144355,375
decoder2,zero,dice,Dice,0.8887710221203972,0.47703416573537916,-0.4117368563850179,0.4117368563850179,0.4117368563850179,0.1983735710098052,375
decoder2,zero,edema_fraction,Edema fraction,0.6179801798768801,0.5520480999369718,-0.06593207993990828,0.1591715050497843,0.1591715050497843,0.10257630709554873,375
decoder2,zero,necrosis_fraction,Necrosis fraction,0.13563365453719345,0.2253575270304794,0.08972387249328592,0.1291342343958324,0.1291342343958324,0.076792462985197,375
decoder2,zero,enhancing_fraction,Enhancing fraction,0.2463861655845238,0.22259437303223012,-0.023791792552293682,0.09813516288259784,0.09813516288259784,0.09191243888653425,375
decoder2,zero,centroid_z,Centroid Z (normalized),0.5049611454662892,0.49699899080674187,-0.007962154659547308,0.09606088865109717,0.09606088865109717,0.06349131024554307,375
decoder2,zero,false_negative_voxels,False-negative voxels,998.28,432.112,-566.168,-566.168,585.992,612.3996030694112,375
decoder3,mean,tumor_volume,Tumor volume (pred WT voxels),11640.925333333333,9184.749333333333,-2456.176,2458.8053333333332,2458.8053333333332,2274.5807575092526,375
decoder3,mean,false_negative_voxels,False-negative voxels,998.28,2745.1626666666666,1746.8826666666666,1746.8826666666666,1746.8826666666666,1843.586661277394,375
decoder3,mean,boundary_complexity,Boundary complexity,6.174654469857373,6.178666527740125,0.004012057882752477,0.5594528158756684,0.5594528158756684,0.5998923043496933,375
decoder3,mean,dice,Dice,0.8887710221203972,0.8334238349154819,-0.05534718720491515,0.05534718720491515,0.07090091079375356,0.08323897454687208,375
decoder3,mean,edema_fraction,Edema fraction,0.6179801798768801,0.5987593212615578,-0.019220858615322276,0.04527887286498599,0.04527887286498599,0.05262133618785009,375
